Category: All categories

Month,Influenza: (Switzerland)
2004-01,24
2004-02,13
2004-03,7
2004-04,3
2004-05,3
2004-06,3
2004-07,4
2004-08,2
2004-09,4
2004-10,11
2004-11,7
2004-12,8
2005-01,18
2005-02,31
2005-03,13
2005-04,6
2005-05,3
2005-06,4
2005-07,3
2005-08,4
2005-09,7
2005-10,35
2005-11,15
2005-12,10
2006-01,11
2006-02,22
2006-03,19
2006-04,8
2006-05,6
2006-06,5
2006-07,3
2006-08,5
2006-09,6
2006-10,9
2006-11,8
2006-12,8
2007-01,11
2007-02,21
2007-03,8
2007-04,6
2007-05,5
2007-06,5
2007-07,4
2007-08,5
2007-09,6
2007-10,10
2007-11,9
2007-12,11
2008-01,21
2008-02,13
2008-03,7
2008-04,7
2008-05,3
2008-06,4
2008-07,4
2008-08,4
2008-09,7
2008-10,10
2008-11,10
2008-12,11
2009-01,28
2009-02,19
2009-03,9
2009-04,32
2009-05,30
2009-06,16
2009-07,44
2009-08,51
2009-09,36
2009-10,34
2009-11,100
2009-12,40
2010-01,12
2010-02,9
2010-03,8
2010-04,5
2010-05,5
2010-06,4
2010-07,4
2010-08,5
2010-09,6
2010-10,10
2010-11,8
2010-12,13
2011-01,21
2011-02,17
2011-03,10
2011-04,6
2011-05,6
2011-06,4
2011-07,4
2011-08,4
2011-09,7
2011-10,10
2011-11,9
2011-12,10
2012-01,12
2012-02,17
2012-03,13
2012-04,7
2012-05,5
2012-06,4
2012-07,5
2012-08,5
2012-09,8
2012-10,12
2012-11,11
2012-12,13
2013-01,30
2013-02,35
2013-03,17
2013-04,9
2013-05,7
2013-06,5
2013-07,5
2013-08,5
2013-09,8
2013-10,10
2013-11,11
2013-12,11
2014-01,15
2014-02,19
2014-03,12
2014-04,8
2014-05,7
2014-06,5
2014-07,6
2014-08,7
2014-09,8
2014-10,11
2014-11,13
2014-12,14
2015-01,26
2015-02,44
2015-03,22
2015-04,9
2015-05,7
2015-06,6
2015-07,5
2015-08,5
2015-09,10
2015-10,11
2015-11,13
2015-12,12
2016-01,22
2016-02,32
2016-03,26
2016-04,12
2016-05,7
2016-06,6
2016-07,5
2016-08,5
2016-09,9
2016-10,14
2016-11,15
2016-12,27
2017-01,38
2017-02,21
2017-03,10
2017-04,7
2017-05,7
2017-06,5
2017-07,6
2017-08,6
2017-09,10
2017-10,13
2017-11,16
2017-12,26
2018-01,43
2018-02,37
2018-03,28
2018-04,11
2018-05,7
2018-06,6
2018-07,6
2018-08,6
2018-09,10
2018-10,15
2018-11,17
2018-12,17
2019-01,30
2019-02,43
2019-03,20
2019-04,11
2019-05,8
2019-06,7
2019-07,6
2019-08,7
2019-09,10
