Category: All categories
"Influenza: (1/1/04 - 9/28/19, Switzerland)"

TOP
Symptom,100
Influenza vaccine,54
Vaccination,52
Common cold,45
Virus,39
Gastroenteritis,37
Fever,33
2009 flu pandemic,33
Common tern,32
Swine influenza,31
Spanish flu,25
Infection,22
Vaccine,19
Disease,19
Stomach,17
Incubation period,17
Pharmaceutical drug,17
Cough,14
Pain,13
Haemophilus influenzae,13
Paracetamol,13
Haemophilus,11
Influenza A virus,10
Epidemic,10
Influenza A virus subtype H1N1,7

RISING
Symptom,Breakout
2009 flu pandemic,Breakout
Swine influenza,Breakout
Infection,Breakout
Stomach,Breakout
Incubation period,Breakout
Cough,Breakout
Pain,Breakout
Haemophilus influenzae,Breakout
Paracetamol,Breakout
Haemophilus,Breakout
Influenza A virus,Breakout
Epidemic,Breakout
Influenza A virus subtype H1N1,Breakout
Home remedy,Breakout
Pig,Breakout
Pneumonia,Breakout
Common cold,+300%
Virus,+250%
Fever,+180%
Vaccination,+120%
Gastroenteritis,+110%
Disease,+60%
Influenza vaccine,+60%
Pharmaceutical drug,+40%

