Category: All categories
"Influenza: (1/1/04 - 9/28/19, Switzerland)"

TOP
grippe,100
influenza,20
flu,18
symptome,9
symptome grippe,8
la grippe,8
grippe schweiz,6
gripe,5
virus,5
grippe suisse,4
grippe a,4
h1n1,4
fieber,3
vaccin grippe,3
erkältung,3
grippe intestinale,3
grippe h1n1,3
grippe symptomes,3
spanische grippe,2
grippe 2018,2
influenza virus,2
influenza a,2
virus influenza,2
grippe 2016,2
bag,2

RISING
grippe a,Breakout
h1n1,Breakout
vaccin grippe,Breakout
grippe intestinale,Breakout
grippe h1n1,Breakout
grippe symptomes,Breakout
spanische grippe,Breakout
grippe 2018,Breakout
influenza a,Breakout
grippe 2016,Breakout
grip,Breakout
inkubationszeit,Breakout
grippe was tun,Breakout
grippe 2017,Breakout
grippe 2019,Breakout
grippe inkubationszeit,Breakout
grippe 2015,Breakout
magen darm grippe,Breakout
grippe bag,Breakout
grippe 2013,Breakout
grippe 2014,Breakout
flu symptoms,Breakout
swine flu,Breakout
grippewelle,Breakout
grippe 2012,Breakout

